Provider EPG,Consumer EPG,Consumer VRF,Contract,Filter,Hits,TCAM Usage
tn-vmm1/ap-vAP1/epg-vEPG1,vEPG2,tn-vmm1/ctx-vmm1,tn-vmm1/brc-con1,tn-vmm1/flt-fil_ip,3262592,4
tn-goog/ap-AP1/epg-gEPG1,gEPG2,tn-goog/ctx-ctx1,tn-common/brc-default,tn-common/flt-default,2403202,2
tn-goog/ctx-ctx1/any,ctx1/any,tn-goog/ctx-ctx1,tn-goog/ctx-ctx1,sys/actrl/filt-implicit,202826,2
tn-goog/BD-gBD3,ctx1/any,tn-goog/ctx-ctx1,tn-goog/ctx-ctx1,sys/actrl/filt-implicit,47608,1
tn-vmm1/BD-vBD1,vmm1/any,tn-vmm1/ctx-vmm1,tn-vmm1/ctx-vmm1,sys/actrl/filt-implicit,250,2
tn-vmm1/BD-vBD2,vmm1/any,tn-vmm1/ctx-vmm1,tn-vmm1/ctx-vmm1,sys/actrl/filt-implicit,194,2
tn-vmm1/ctx-vmm1/any,vmm1/any,tn-vmm1/ctx-vmm1,tn-vmm1/ctx-vmm1,sys/actrl/filt-implicit,160,4
tn-goog/BD-bridge2,ctx1/any,tn-goog/ctx-ctx1,tn-goog/ctx-ctx1,sys/actrl/filt-implicit,20,1
tn-vmm1/ap-vAP1/epg-vEPG1,vEPG3,tn-vmm1/ctx-vmm1,tn-vmm1/brc-con1,tn-vmm1/flt-fil_ip,15,4
tn-bell03/ap-ctx1-ap1/epg-ctx1-bd1-epg1,ctx1-bd2-epg2,tn-bell03/ctx-ctx1,tn-bell03/brc-cont1,tn-bell03/flt-fil1,4,2
tn-vmm1/ctx-vmm1/any,vmm1/any,tn-vmm1/ctx-vmm1,tn-vmm1/ctx-vmm1,sys/actrl/filt-implarp,3,2
tn-mgmt/ctx-inb/any,inb/any,tn-mgmt/ctx-inb,tn-mgmt/ctx-inb,sys/actrl/filt-implicit,3,6
tn-sj11/ctx-sj11_ctx01/any,sj11_ctx01/any,tn-sj11/ctx-sj11_ctx01,tn-sj11/ctx-sj11_ctx01,sys/actrl/filt-implicit,2,4
tn-bell05/BD-ctx2-bd2,ctx2/any,tn-bell05/ctx-ctx2,tn-bell05/ctx-ctx2,sys/actrl/filt-implicit,0,1
